epoch,train_loss,val_loss,psnr,ssim,lr
1,26.72368297115449,21.540301746792263,19.65946246875517,0.40023045522597456,0.0001
2,21.357766282173895,21.568408577530473,19.65356252145861,0.40201824756411064,0.0001
3,20.14017041190978,21.530937945401227,19.65561187828684,0.4024624718153416,0.0001
4,19.44156367471141,21.598333985717208,19.641586325887516,0.401682706435667,0.0001
5,18.90228601732562,21.51178880091067,19.66049668205385,0.40320811747058727,0.0001
6,18.449886628889267,21.456852921733148,19.67736034479903,0.40407605685573994,0.0001
7,18.020081990764986,21.518822352091473,19.661632752031316,0.40348389509895255,0.0001
8,17.615014643822946,21.517972177929348,19.662286206932897,0.4034815602032958,0.0001
9,17.203043623893493,21.494157596870703,19.669148866665235,0.4040203680282373,0.0001
10,16.812341657761603,21.518195788065594,19.654625743718867,0.4027516021379843,0.0001
Best epoch6,18.449886628889267,21.456852921733148,19.67736034479903,0.40407605685573994,0.0001
