poisson.json;42.98;0.99
;;
salty.json;41.99;0.99
;;
speckle.json;24.79;0.94
;;
blurred.json;24.42;0.84
;;
chromatic.json;40.76;0.99
;;
normal.json;43.11;0.99
;;
Average;36.34;0.9555118684673191
;;
poisson.json;35.81;0.96
;;
salty.json;35.67;0.96
;;
speckle.json;24.92;0.92
;;
blurred.json;20.aug;0.81
;;
chromatic.json;34.82;0.96
;;
normal.json;35.91;0.97
;;
Average;33.65;0.9301369954144468
;;
poisson.json;38.91;0.97
;;
salty.json;38.51;0.97
;;
speckle.json;24.63;0.91
;;
blurred.json;23.mar;0.79
;;
chromatic.json;37.88;0.97
;;
normal.json;38.95;0.97
;;
Average;33.653.071.931.651.300;0.9302665937527529
;;
poisson.json;31.54;0.95
;;
salty.json;31.16;0.95
;;
speckle.json;22.19;0.86
;;
blurred.json;18.89;0.77
;;
chromatic.json;30.33;0.94
;;
normal.json;31.54;0.95
;;
Average;27.608.799.992.283.100;0.9021473904183375
;;
poisson.json;34.56;0.93
;;
salty.json;34.0;0.93
;;
speckle.json;17.45;0.79
;;
blurred.json;17.85;0.61
;;
chromatic.json;33.47;0.92
;;
normal.json;34.53;0.93
;;
Average;2.864.310.987.789.290;0.8540108589597746
;;
poisson.json;40.01;0.98
;;
salty.json;39.13;0.98
;;
speckle.json;21.jun;0.89
;;
blurred.json;23.dec;0.76
;;
chromatic.json;38.56;0.97
;;
normal.json;40.0;0.98
;;
Average;3.364.594.482.453.220;0.9252182269328427
;;
poisson.json;36.05;0.96
;;
salty.json;35.67;0.96
;;
speckle.json;20.57;0.85
;;
blurred.json;18.aug;0.65
;;
chromatic.json;35.08;0.96
;;
normal.json;36.06;0.96
;;
Average;3.037.127.651.911.630;0.8908912142992333
;;
poisson.json;38.87;0.98
;;
salty.json;38.32;0.98
;;
speckle.json;22.72;0.93
;;
blurred.json;21.43;0.81
;;
chromatic.json;37.73;0.98
;;
normal.json;38.88;0.98
;;
Average;32.993.814.251.437.500;0.9457420647997817
;;
poisson.json;37.96;0.98
;;
salty.json;37.54;0.98
;;
speckle.json;25.69;0.91
;;
blurred.json;21.63;0.74
;;
chromatic.json;36.72;0.97
;;
normal.json;37.92;0.98
;;
Average;32.909.299.320.704.500;0.9261880960687522
;;
poisson.json;37.72;0.96
;;
salty.json;36.3;0.96
;;
speckle.json;18.jul;0.82
;;
blurred.json;20.96;0.63
;;
chromatic.json;36.3;0.95
;;
normal.json;37.69;0.96
;;
Average;31.174.549.529.539.200;0.8799143240493353
;;
poisson.json;38.19;0.97
;;
salty.json;36.69;0.97
;;
speckle.json;17.76;0.81
;;
blurred.json;21.sep;0.66
;;
chromatic.json;36.74;0.96
;;
normal.json;38.2;0.97
;;
Average;3.144.369.073.662.210;0.8892448041585695
;;
poisson.json;41.65;0.99
;;
salty.json;40.98;0.99
;;
speckle.json;23.92;0.93
;;
blurred.json;25.65;0.87
;;
chromatic.json;40.43;0.99
;;
normal.json;41.54;0.99
;;
Average;3.569.596.161.824.650;0.9588735372959212
;;
poisson.json;34.49;0.92
;;
salty.json;34.09;0.92
;;
speckle.json;18.53;0.75
;;
blurred.json;17.apr;0.48
;;
chromatic.json;33.56;0.91
;;
normal.json;34.5;0.92
;;
Average;28.701.558.963.165.500;0.8165724354873124
